0xb2	0xba
0xc8	0xd0
0xd2	0xd90xc4
0xd5	0x227
0xdc	0xd90xdb
0xeb	0x296
0xf3	0xfb
0xfd	0x1130xef
0x10f	0x4a8
0x129	0x131
0x133	0x1130x125
0x136	0x4bb
0x13e	0x146
0x148	0xd90x13a
0x15a	0x4c1
0x162	0x16a
0x16c	0x176
0x172	0x4f2
0x1a9	0x1bc
0x1b8	0x1a4
0x1d5	0x1dd
0x1df	0x1130x1d1
0x1ee	0x565
0x1f6	0x1fe
0x200	0x1130x1f2
0x203	0x580
0x20b	0x213
0x215	0xd90x207
0x21b	0x586
0x220	0xd90x21f
0x223	0x888
0x239	0x241
0x247	0x24f
0x285	0x292
0x2a3	0x2ab
0x2cf	0x324
0x2ef	0x2f4
0x30d	0x319
0x315	0x324
0x320	0x2b4
0x327	0x32f
0x3b0	0x3bb
0x3bd	0x4a2
0x3f8	0x442
0x40f	0x414
0x42c	0x437
0x433	0x442
0x43e	0x3f1
0x446	0x4a2
0x4d0	0x4d8
0x522	0x554
0x550	0x536
0x594	0x59c
0x5b0	0x5b8
0x5da	0x5e2
0x5f3	0x5fb
0x605	0x60e
0x615	0x622
0x688	0x695
0x6a2	0x830
0x6b5	0x6ba
0x6e3	0x722
0x6f6	0x6fb
0x724	0x828
0x730	0x735
0x75d	0x762
0x7a3	0x7b0
0x7bf	0x7c4
0x7fd	0x802
0x82c	0x69b
0x836	0x875
0x866	0x873
0x893	0x89b
0x8bd	0x90f
0x8dd	0x8e2
0x8fb	0x907
0x903	0x90f
0x90b	0x8a2
0x912	0x91a
0x9a3	0x9ad
0x9a9	0x9b0
0x9b6	0x9c0
0x9c1	0x9cb
0x9c7	0x9ce
0x9d4	0x9df
0x9e0	0x9ea
0x9e6	0x9ed
0xa0e	0xa65
0xa35	0xa3a
0xa52	0xa5a
0xa61	0x9f8
0xa69	0xa75
0xa71	0xaa2
0xa7b	0xa86
0xa89	0xa93
0xa96	0xa9e
0xacf	0xae5
0xad1	0xae8
0xad3	0xaeb
0xad5	0xaee
0xad7	0xaf1
0xad9	0xaf4
0xadb	0xaf7
0xadd	0xafa
0xadf	0xafd
0xae1	0xb00
0xae3	0xb03
