0x0	__function_selector__
0xa3	fallback()
0xa3	batchLock_63efZf()
0xc4	withdrawAdmin()
0xdb	buyTicketWithRef(address)
0xef	checkWin(uint256,address)
0x125	getAdminComission()
0x13a	updateParams(uint256,uint256,uint256,uint256,uint256)
0x15e	getLotteryAtIndex(uint256)
0x1d1	balanceOf(address)
0x1f2	getJackpot()
0x207	withdrawForWinner(uint256)
0x21f	buyTicket()
0x990	0x990
