0x15a
0x322
0x3be
0x3ea
0x520
0x5b5
0x746
0x937
0x9ea
0xac6
0xc15
0xd40
0xdf0
0xe3a
0xfa5
0x103c
0x1070
0x110f
0x1179
0x1221
0x1379
