0x1e9
0x620
0x680
0x6d6
0x7e4
0x9e8
0x1239
0x140a
0x1485
0x15d2
0x1766
0x180f
0x185b
0x1892
0x19e4
0x1a3d
0x1a84
0x1cc3
0x1d10
0x1e88
0x1f74
0x2021
0x235f
0x26ae
0x27f0
0x29f2
0x2a50
0x2c2f
0x2f2c
0x2f57
0x30bb
0x33b3
0x3515
0x3c27
0x3da3
0x421f
0x42a8
0x42b9
