0x1604	0x3033	320
0x1604	0x3163	16
0x1663	0x3163	320
0x1664	0x643332	320
0x166c	0x6133653333	2147483647
0x166c	0x66666666666666	2147483647
0x166c	0x376433303339	2147483647
0x166c	0x66666639323930	2147483647
0x166c	0x353635623530	2147483647
0x166c	0x33623831636166	2147483647
0x166c	0x64373031326132	2147483647
0x166c	0x3962383066	2147483647
0x166c	0x666462396564	2147483647
0x166c	0x61626535636331	2147483647
0x166c	0x356236303030	2147483647
0x166c	0x64626432363038	2147483647
0x169a	0x3039	314
0x169a	0x3033	320
0x169a	0x3163	16
0x1710	0x3039	314
0x1710	0x3033	320
0x1710	0x3163	16
0x172b	0x363030	320
0x177c	0x3039	314
0x177c	0x3033	320
0x177c	0x3163	16
0x182b	0x6133653333	825778737
0x182b	0x66666666666666	825778737
0x182b	0x376433303339	825778737
0x182b	0x66666639323930	825778737
0x182b	0x353635623530	825778737
0x182b	0x33623831636166	825778737
0x182b	0x64373031326132	825778737
0x182b	0x3962383066	825778737
0x182b	0x666462396564	825778737
0x182b	0x61626535636331	825778737
0x182b	0x356236303030	825778737
0x182b	0x64626432363038	825778737
0x1864	0x3039	314
0x1864	0x3033	320
0x1864	0x3163	16
0x195e	0x3039	314
0x195e	0x3033	320
0x195e	0x3163	16
0x1990	0x3039	314
0x1990	0x3033	320
0x1990	0x3163	16
0x1a8a	0x6133653333	320
0x1a8a	0x66666666666666	320
0x1a8a	0x376433303339	320
0x1a8a	0x66666639323930	320
0x1a8a	0x353635623530	320
0x1a8a	0x33623831636166	320
0x1a8a	0x64373031326132	320
0x1a8a	0x3962383066	320
0x1a8a	0x666462396564	320
0x1a8a	0x61626535636331	320
0x1a8a	0x356236303030	320
0x1a8a	0x64626432363038	320
0x1ae4	0x6133653333	320
0x1ae4	0x66666666666666	320
0x1ae4	0x376433303339	320
0x1ae4	0x66666639323930	320
0x1ae4	0x353635623530	320
0x1ae4	0x33623831636166	320
0x1ae4	0x64373031326132	320
0x1ae4	0x3962383066	320
0x1ae4	0x666462396564	320
0x1ae4	0x61626535636331	320
0x1ae4	0x356236303030	320
0x1ae4	0x64626432363038	320
0x1b10	0x3039	314
0x1b10	0x3033	320
0x1b10	0x3163	16
0x1b30	0x6133653333	320
0x1b30	0x66666666666666	320
0x1b30	0x376433303339	320
0x1b30	0x66666639323930	320
0x1b30	0x353635623530	320
0x1b30	0x33623831636166	320
0x1b30	0x64373031326132	320
0x1b30	0x3962383066	320
0x1b30	0x666462396564	320
0x1b30	0x61626535636331	320
0x1b30	0x356236303030	320
0x1b30	0x64626432363038	320
0x1b84	0x3039	314
0x1b84	0x3033	320
0x1b84	0x3163	16
0x1be5	0x6133653333	825778737
0x1be5	0x66666666666666	825778737
0x1be5	0x376433303339	825778737
0x1be5	0x66666639323930	825778737
0x1be5	0x353635623530	825778737
0x1be5	0x33623831636166	825778737
0x1be5	0x64373031326132	825778737
0x1be5	0x3962383066	825778737
0x1be5	0x666462396564	825778737
0x1be5	0x61626535636331	825778737
0x1be5	0x356236303030	825778737
0x1be5	0x64626432363038	825778737
0x1c1e	0x3039	314
0x1c1e	0x3033	320
0x1c1e	0x3163	16
0x1cde	0x3039	314
0x1cde	0x3033	320
0x1cde	0x3163	16
0x1d98	0x6133653333	320
0x1d98	0x66666666666666	320
0x1d98	0x376433303339	320
0x1d98	0x66666639323930	320
0x1d98	0x353635623530	320
0x1d98	0x33623831636166	320
0x1d98	0x64373031326132	320
0x1d98	0x3962383066	320
0x1d98	0x666462396564	320
0x1d98	0x61626535636331	320
0x1d98	0x356236303030	320
0x1d98	0x64626432363038	320
0x1e04	0x3039	314
0x1e04	0x3033	320
0x1e04	0x3163	16
0x1e78	0x3039	314
0x1e78	0x3033	320
0x1e78	0x3163	16
0x206c	0x3039	314
0x206c	0x3033	320
0x206c	0x3163	16
0x2300	0x3039	314
0x2300	0x3033	320
0x2300	0x3163	16
0x23f4	0x3039	314
0x23f4	0x3033	320
0x23f4	0x3163	16
0x2508	0x6133653333	320
0x2508	0x66666666666666	320
0x2508	0x376433303339	320
0x2508	0x66666639323930	320
0x2508	0x353635623530	320
0x2508	0x33623831636166	320
0x2508	0x64373031326132	320
0x2508	0x3962383066	320
0x2508	0x666462396564	320
0x2508	0x61626535636331	320
0x2508	0x356236303030	320
0x2508	0x64626432363038	320
0x253f	0x35323636	320
