0xa1
0xde
0x2cc
0x764
0x972
0xa20
0xb76
0xdf2
0xf07
0x1014
0x146f
0x147a
0x1584
0x161b
0x175a
0x1a02
0x1c50
0x1cac
0x1d38
0x1de2
0x1e9a
0x1fc6
0x2020
0x2102
0x2162
0x2264
0x2277
0x228f
