0x11f
0x1f8
0x2f5
0x311
0x409
0x47a
0x5ec
0x6e0
0x6e9
0x910
0xb91
0x1133
0x119f
0x1310
0x1677
0x1806
0x1838
0x1855
0x186e
0x1875
0x1899
0x18a6
0x18bc
