0x1f9
0x28d
0x38a
0x402
0x67b
0x6d6
0x916
0x961
0xa46
0xd5a
0xde3
0xe49
0xe7d
0x11d4
0x1222
0x1285
0x1398
0x13bc
0x13f2
0x14e4
0x1510
0x1691
0x1747
0x17eb
0x1862
0x18a2
0x1921
0x1a93
0x1c5b
0x1d34
0x1e17
0x1e64
0x1eaa
0x1f9b
0x2046
0x210b
0x2182
0x21bc
0x2276
0x230f
0x2334
0x234d
