0x0	0xd
0x3f	0x4a
0xd	0x1e
0xbf6	0xc2c
0xfd7	0xfe7
0x1878	0x18880x54c
0x196a	0x196c
0x1c09	0x1c19
0x1d8d	0x1d9d
0x1fa4	0x1fd8
0x21fc	0x2229
0x225e	0x226e
0x2de5	0x2df3
0x2e06	0x2e27
0x22cd0x944	0x22dd0x944
0x22cd0x2296	0x22dd0x2296
0x22cd0x2dd8	0x22dd0x2dd8
0xf7	0x103
0x95	0xa1
0x64	0x70
0xd1	0xdd
0x16f	0x17b
0x13e	0x14a
0x1ab	0x1b7
0x1de	0x1f1
0xab0	0xabc
0x224	0x237
0x23b	0x25e
0x262	0x270
0x274	0x291
0xad7	0xaf4
0x2ae	0x2c1
0x301	0x314
0x331	0x344
0xe56	0xe6e
0x364	0x377
0x394	0x3a7
0x3ab	0x3ce
0x3d2	0x3e0
0x3e4	0x401
0x12a3	0x12bb
0x41c	0x42f
0x44c	0x45f
0x47c	0x48f
0x4bb	0x4ce
0x1719	0x1736
0x525	0x538
0x558	0x56b
0x183f	0x1878
0x5d8	0x5eb
0x5ef	0x612
0x616	0x624
0x628	0x645
0x68e	0x6a1
0x1ad7	0x1af4
0x6d3	0x6e6
0x72d	0x740
0x1c94	0x1cc20x721
0x787	0x7a9
0x1cc8	0x1d08
0x7c1	0x7d5
0x7a9	0x7b2
0x808	0x81b
0x1d56	0x1d8d
0x847	0x85a
0x85e	0x88a
0x88e	0x89c
0x8a0	0x8bd
0x1e1b	0x1e38
0x8d8	0x8eb
0x2153	0x216b
0x90b	0x91e
0x21c3	0x21fc
0x2234	0x225e
0x950	0x963
0x2296	0x22cd0x2296
0x98f	0x9a2
0x9ce	0x9e1
0x24d0	0x24e8
0xa04	0xa17
0xa1b	0xa3e
0xa42	0xa50
0xa54	0xa71
0xa8c	0xa9f
0xb3a	0xbb3
0xbb7	0xbc2
0xbcb	0xbdd
0xbe1	0xbf6
0xcb2	0xcd6
0xce5	0xd06
0x264a	0x269e
0xd8f	0xda8
0xeba	0xedb
0xf27	0xf31
0xf79	0xf9a
0xfbb	0xfd7
0xfe8	0x100d
0x100e	0x1046
0xf9a	0xfa5
0x10b8	0x10d1
0x1107	0x1124
0x115e	0x117d
0x11bf	0x11cb
0x34	0x3f
0x138f	0x1394
0x13ca	0x13e7
0x14a5	0x14aa
0x14e0	0x14fd
0x1537	0x1547
0x1585	0x15ae
0x160b	0x163f
0x1643	0x164e
0x1657	0x1669
0x17c0	0x1812
0x1816	0x1821
0x18bd	0x18c2
0x18f8	0x1916
0x195e	0x1961
0x1981	0x19a5
0x19a6	0x19c2
0x19d3	0x19fc
0x19fd	0x1a34
0x1a35	0x1a84
0x196c	0x1976
0x1961	0x196a
0x2a7e	0x2ac4
0x1b42	0x1b97
0x1b9b	0x1ba6
0x1bc6	0x1c09
0x1c37	0x1c73
0x1c19	0x1c37
0x1d23	0x1d31
0x1d31	0x1d45
0x1dbb	0x1dc6
0x1d9d	0x1dbb
0x1de5	0x1dfd
0x1dc6	0x1dcd
0x1e72	0x1e8f
0x1ed5	0x1f4e
0x1f52	0x1f5d
0x1f66	0x1f78
0x1f7c	0x1f91
0x20a1	0x20cf
0x20d8	0x212d
0x2131	0x213c
0x2cde	0x2cee
0x226e	0x228c
