0xf
0x1f7
0x242
0x264
0x2c7
0x31a
0x34a
0x37d
0x3b2
0x3d4
0x435
0x465
0x496
0x4a1
0x4d4
0x50e
0x53e
0x571
0x5f6
0x618
0x6ad
0x6bc
0x6c2
0x6ec
0x747
0x752
0x822
0x82d
0x865
0x86d
0x890
0x8f1
0x924
0x96a
0x975
0x9a9
0x9b4
0x9ed
0x9f3
0xa22
0xa44
0xaa5
