0x0	__function_selector__
0x1cd	fallback()
0x1cd	batchLock_63efZf()
0x1d2	owners(uint256)
0x218	withdraw(uint32,bytes)
0x2a2	apps(uint32)
0x2f5	disapprove(uint32)
0x325	removeOwner(address)
0x358	activate(uint32)
0x388	registerApp(uint32,address[])
0x410	current(uint32)
0x440	removeProposal(uint32)
0x470	addProposal(uint32,address)
0x4af	isOwner(address)
0x4f6	depositEther(uint32)
0x519	proposals(address)
0x54c	getAppOwners(uint32)
0x5cc	removeAppOwners(uint32,address[])
0x654	totalAppsCount()
0x682	depositToken(uint32,address,uint256)
0x6c7	app(uint32)
0x721	getBalance(uint32,address)
0x772	version()
0x7fc	isAnyLogic(uint32,address)
0x83b	transfer(uint32,uint32,bytes)
0x8cc	addOwner(address)
0x8ff	history(uint32)
0x92f	getOwners()
0x944	isAppOwner(uint32,address)
0x983	provisionApp(uint32,address)
0x9c2	appOwners(uint32,uint256)
0x9f8	addAppOwners(uint32,address[])
0xa80	approve(uint32)
0x1344	0x1344
0x2296	0x2296
0x2600	0x2600
0x2865	0x2865
0x2914	0x2914
0x2a37	0x2a37
0x2cde	0x2cde
0x2dd8	0x2dd8
