0xb2e
0xc78
0xd84
0xdde
0x10ae
0x1201
0x1240
0x1307
0x1384
0x1421
0x149a
0x15e4
0x1770
0x17a6
0x18b2
0x1b39
0x1ec9
0x200e
0x2048
0x20cf
0x21b7
0x2350
0x2505
0x254b
0x2588
0x280d
0x2865
0x29db
0x2c28
0x2c79
