0x1a	0xf7
0x25	0x95
0x30	0x64
0x9d	0xd1
0xff	0x16f
0x10a	0x13e
0x177	0x1ab
0x1d6	0x1de
0x1e0	0x1fc0x1d2
0x1ed	0x1f5
0x1f8	0xab0
0x21c	0x224
0x226	0x2a00x218
0x233	0x23b
0x25a	0x262
0x26c	0x274
0x28d	0x295
0x29c	0xad7
0x2a6	0x2ae
0x2b0	0x2d2
0x2bd	0x2c5
0x2ce	0xd5c
0x2f9	0x301
0x303	0x2a00x2f5
0x310	0x318
0x321	0xd84
0x329	0x331
0x333	0x2a00x325
0x340	0x348
0x354	0xe56
0x35c	0x364
0x366	0x2a00x358
0x373	0x37b
0x384	0x10ae
0x38c	0x394
0x396	0x2a00x388
0x3a3	0x3ab
0x3ca	0x3d2
0x3dc	0x3e4
0x3fd	0x405
0x40c	0x12a3
0x414	0x41c
0x41e	0x1fc0x410
0x42b	0x433
0x43c	0x13440x410
0x444	0x44c
0x44e	0x2a00x440
0x45b	0x463
0x46c	0x1384
0x474	0x47c
0x47e	0x2a00x470
0x48b	0x493
0x4ab	0x149a
0x4b3	0x4bb
0x4bd	0x4e20x4af
0x4ca	0x4d2
0x4de	0x1704
0x4f7	0x2a00x4f6
0x504	0x50c
0x515	0x1719
0x51d	0x525
0x527	0x4e20x519
0x534	0x53c
0x548	0x182a
0x550	0x558
0x55a	0x57c0x54c
0x567	0x56f
0x578	0x183f
0x5d0	0x5d8
0x5da	0x2a00x5cc
0x5e7	0x5ef
0x60e	0x616
0x620	0x628
0x641	0x649
0x650	0x18b2
0x658	0x660
0x662	0x669
0x665	0x1acb
0x686	0x68e
0x690	0x2a00x682
0x69d	0x6a5
0x6c3	0x1ad7
0x6cb	0x6d3
0x6d5	0x6f7
0x6e2	0x6ea
0x6f3	0x1bb9
0x725	0x72d
0x72f	0x760
0x73c	0x744
0x75c	0x1c94
0x776	0x77e
0x780	0x787
0x783	0x1cc8
0x7ae	0x7c1
0x7bd	0x7a9
0x7d1	0x7ee
0x800	0x808
0x80a	0x4e20x7fc
0x817	0x81f
0x837	0x1d56
0x83f	0x847
0x849	0x2a00x83b
0x856	0x85e
0x886	0x88e
0x898	0x8a0
0x8b9	0x8c1
0x8c8	0x1e1b
0x8d0	0x8d8
0x8da	0x2a00x8cc
0x8e7	0x8ef
0x8fb	0x2153
0x903	0x90b
0x90d	0x57c0x8ff
0x91a	0x922
0x92b	0x21c3
0x933	0x93b
0x93d	0x57c0x92f
0x940	0x2234
0x948	0x950
0x952	0x4e20x944
0x95f	0x967
0x97f	0x22960x944
0x987	0x98f
0x991	0x2a00x983
0x99e	0x9a6
0x9be	0x2350
0x9c6	0x9ce
0x9d0	0x1fc0x9c2
0x9dd	0x9e5
0x9f4	0x24d0
0x9fc	0xa04
0xa06	0x2a00x9f8
0xa13	0xa1b
0xa3a	0xa42
0xa4c	0xa54
0xa6d	0xa75
0xa7c	0x2505
0xa84	0xa8c
0xa8e	0x2a00xa80
0xa9b	0xaa3
0xaac	0x2588
0xab8	0xabd
0xaf0	0xb2e
