0xef	0x3535	320
0x1d1	0x613631303566	320
0x1d1	0x63333738646161	320
0x1d1	0x64356236303030	320
0x1d1	0x31356633396464	320
0x1d1	0x666538623732	320
0x1563	0x333835	320
0x2430	0x613631303566	320
0x2430	0x63333738646161	320
0x2430	0x64356236303030	320
0x2430	0x31356633396464	320
0x2430	0x666538623732	320
0x256a	0x64316664	320
0x269c	0x3761	320
0x26bf	0x6138	320
0x26d8	0x613631303566	320
0x26d8	0x63333738646161	320
0x26d8	0x64356236303030	320
0x26d8	0x31356633396464	320
0x26d8	0x666538623732	320
0x1188	0x3930	320
0x13c6	0x613631303566	320
0x13c6	0x63333738646161	320
0x13c6	0x64356236303030	320
0x13c6	0x31356633396464	320
0x13c6	0x666538623732	320
0x1cf6	0x3930	320
0x1e0e	0x613631303566	320
0x1e0e	0x63333738646161	320
0x1e0e	0x64356236303030	320
0x1e0e	0x31356633396464	320
0x1e0e	0x666538623732	320
0x1f7c	0x3930	320
0x26b7	0x613631303566	3486008
0x26b7	0x63333738646161	3486008
0x26b7	0x64356236303030	3486008
0x26b7	0x31356633396464	3486008
0x26b7	0x666538623732	3486008
