0xcc
0x121
0x3be
0x3f0
0x54e
0x67a
0x7fc
0x8ee
0x960
0x9c6
0x9f0
0xa1a
0xa80
0xae6
0xb10
0xb1f
0xb3a
0xbca
0xd16
0xd7c
0xee6
0x1212
0x123e
0x124f
0x12a0
0x136a
0x136f
0x13a6
0x13e2
0x13fb
0x1402
0x1412
0x1424
0x1442
0x1462
0x14cc
0x14e8
0x14ed
0x14f4
0x154a
0x155c
0x15b8
0x15bf
0x15c6
0x15f2
0x15f9
0x1610
0x1780
0x1785
0x17ba
0x1882
0x18bc
0x18ec
0x190c
0x1966
0x196b
0x1a14
0x1ad6
0x1afa
0x1bc6
0x1c7c
0x1d67
0x1e0c
0x1ea2
0x1f08
0x1f28
0x1f2d
0x1f80
0x1ff5
0x2098
0x20bd
0x2189
0x21e2
0x2222
0x22a5
0x2392
0x23de
0x2406
0x2496
0x257c
0x2728
0x2852
0x28ce
0x29ad
