0xef	0x6635	320
0x120	0x62353738303633	320
0x120	0x6135636235	320
0x120	0x37353738303633	320
0x120	0x64356236313032	320
0x120	0x353631303962	320
0x120	0x64356236313035	320
0x120	0x6237356433	320
0x120	0x64356236303030	320
0x120	0x63333738646161	320
0x120	0x6333333966	320
0x147	0x3235	320
0x152	0x336463	320
0x153	0x62353738303633	320
0x153	0x6135636235	320
0x153	0x37353738303633	320
0x153	0x64356236313032	320
0x153	0x353631303962	320
0x153	0x64356236313035	320
0x153	0x6237356433	320
0x153	0x64356236303030	320
0x153	0x63333738646161	320
0x153	0x6333333966	320
0x189	0x3835	320
0x5c7	0x62353738303633	320
0x5c7	0x6135636235	320
0x5c7	0x37353738303633	320
0x5c7	0x64356236313032	320
0x5c7	0x353631303962	320
0x5c7	0x64356236313035	320
0x5c7	0x6237356433	320
0x5c7	0x64356236303030	320
0x5c7	0x63333738646161	320
0x5c7	0x6333333966	320
0x751	0x6435	320
0x1307	0x62353738303633	6435896
0x1307	0x6135636235	6435896
0x1307	0x37353738303633	6435896
0x1307	0x64356236313032	6435896
0x1307	0x353631303962	6435896
0x1307	0x64356236313035	6435896
0x1307	0x623438	2147483647
0x1307	0x31656530	1325190919
0x1307	0x6237356433	6435896
0x1307	0x64356236303030	6435896
0x1307	0x64316664	472960467
0x1307	0x63333738646161	6435896
0x1307	0x6333333966	6435896
0x2290	0x62353738303633	320
0x2290	0x6135636235	320
0x2290	0x37353738303633	320
0x2290	0x64356236313032	320
0x2290	0x353631303962	320
0x2290	0x64356236313035	320
0x2290	0x6237356433	320
0x2290	0x64356236303030	320
0x2290	0x63333738646161	320
0x2290	0x6333333966	320
0x23ca	0x64316664	320
0x2d3f	0x3435	320
0x30c2	0x3835	108
0x30c2	0x3761	320
0x162	0x62353738303633	320
0x162	0x6135636235	320
0x162	0x37353738303633	320
0x162	0x64356236313032	320
0x162	0x353631303962	320
0x162	0x64356236313035	320
0x162	0x6237356433	320
0x162	0x64356236303030	320
0x162	0x63333738646161	320
0x162	0x6333333966	320
0x51c	0x62353738303633	320
0x51c	0x6135636235	320
0x51c	0x37353738303633	320
0x51c	0x64356236313032	320
0x51c	0x353631303962	320
0x51c	0x64356236313035	320
0x51c	0x6237356433	320
0x51c	0x64356236303030	320
0x51c	0x63333738646161	320
0x51c	0x6333333966	320
0xaca	0x62353738303633	320
0xaca	0x6135636235	320
0xaca	0x37353738303633	320
0xaca	0x64356236313032	320
0xaca	0x353631303962	320
0xaca	0x64356236313035	320
0xaca	0x6237356433	320
0xaca	0x64356236303030	320
0xaca	0x63333738646161	320
0xaca	0x6333333966	320
0x1314	0x31656530	320
0x1337	0x62353738303633	320
0x1337	0x6135636235	320
0x1337	0x37353738303633	320
0x1337	0x64356236313032	320
0x1337	0x353631303962	320
0x1337	0x64356236313035	320
0x1337	0x6237356433	320
0x1337	0x64356236303030	320
0x1337	0x63333738646161	320
0x1337	0x6333333966	320
0x2ba0	0x62353738303633	320
0x2ba0	0x6135636235	320
0x2ba0	0x37353738303633	320
0x2ba0	0x64356236313032	320
0x2ba0	0x353631303962	320
0x2ba0	0x64356236313035	320
0x2ba0	0x6237356433	320
0x2ba0	0x64356236303030	320
0x2ba0	0x63333738646161	320
0x2ba0	0x6333333966	320
0x301c	0x62353738303633	320
0x301c	0x6135636235	320
0x301c	0x37353738303633	320
0x301c	0x64356236313032	320
0x301c	0x353631303962	320
0x301c	0x64356236313035	320
0x301c	0x6237356433	320
0x301c	0x64356236303030	320
0x301c	0x63333738646161	320
0x301c	0x6333333966	320
0x30e9	0x62353738303633	320
0x30e9	0x6135636235	320
0x30e9	0x37353738303633	320
0x30e9	0x64356236313032	320
0x30e9	0x353631303962	320
0x30e9	0x64356236313035	320
0x30e9	0x6237356433	320
0x30e9	0x64356236303030	320
0x30e9	0x63333738646161	320
0x30e9	0x6333333966	320
