0x0	__function_selector__
0x2a8	fallback()
0x2a8	batchLock_63efZf()
0x2aa	updateContractAdmin(address)
0x2cb	setTransferDiff(uint256)
0x2e3	isMainAdmin()
0x30c	isMaxSAdmin()
0x321	scM()
0x348	isEthAdmin()
0x35d	register(string,address)
0x3c1	isLEthAdmin()
0x3d6	citizen()
0x407	enableJP()
0x41c	setC(address)
0x43d	RANToken()
0x452	updateBackupAdmin(address)
0x473	joinPackageViaToken(uint256,address)
0x497	updateEthAdmin(address)
0x4b8	unlockTheEthAdmin()
0x4cd	getLS(address)
0x504	lAS(address)
0x549	isLAdmin()
0x55e	miningToken(uint256)
0x576	swapToken(uint256)
0x58e	wallet()
0x5a3	updateCommissionAdmin(address)
0x5c4	joinPackageViaEther(uint256,address)
0x5db	setMinJP(uint256)
0x5f3	maxS()
0x608	joinPackageViaDollar(uint256,address)
0x62c	setMaxJP(uint256)
0x644	updateLockerAdmin(address)
0x665	UETH(uint256)
0x67d	maxM()
0x692	setW(address)
0x6b3	updateMaxSAdmin(address)
0x6d4	getTransferDiff()
0x6e9	ss(uint256)
0x701	scS()
0x716	TransferToken(address,uint256)
0x73a	isBackupAdmin()
0x74f	showMe()
0x859	LA(address[],uint8)
0x8b3	sm(uint256)
0x8cb	getMiningDiff()
0x8e0	ap(address,uint256)
0x904	setMaxM(uint256)
0x91c	sr(string,address)
0x980	isProfitAdmin()
0x995	setMaxS(uint256)
0x9ad	setEnableJP(bool)
0x9c7	updateMainAdmin(address)
0x9e8	isContractAdmin()
0x9fd	sscM(uint256)
0xa15	maxJP()
0xa2a	sscS(uint256)
0xa42	setMiningDiff(uint256)
0xa5a	minJP()
0xa6f	lockTheEthAdmin()
0xa84	ethPrice()
0xc8e	0xc8e
0xca0	0xca0
0xcb7	0xcb7
0x173f	0x173f
0x1783	0x1783
0x2268	0x2268
0x2be5	0x2be5
0x2d9c	0x2d9c
0x325c	0x325c
0x3314	0x3314
0x3853	0x3853
0x3c32	0x3c32
0x3fae	0x3fae
0x44fe	0x44fe
0x45ef	0x45ef
0x4947	0x4947
0x4a95	0x4a95
