0x2dd
0x307
0x314
0x32a
0x33e
0x7fc
0x85a
0xa26
0xbfa
0x10da
0x11e6
0x149e
0x1568
0x1832
0x1b8e
0x1bee
0x1cdc
0x1e50
0x1fc0
0x1fe2
0x203c
0x20a7
0x22ad
0x22dd
0x236d
0x27c7
0x28e6
0x29e8
0x2a24
0x2a4d
0x2d14
0x2d19
0x3435
0x3554
0x3572
0x3582
0x3594
0x35a4
0x35b6
0x35e6
0x363b
0x3767
0x3797
0x37cf
0x3add
0x3c73
0x3d98
0x3df1
0x410e
0x423a
0x4332
0x435c
0x4382
0x477f
0x4903
0x4a7f
0x4acc
0x4b46
0x4c50
0x4cf0
0x4ebc
0x5015
0x52c4
0x52f0
0x53ca
0x540c
0x5428
0x56b9
0x5838
0x5ae4
0x5b12
0x5d02
0x5d4c
0x5d60
0x5d90
0x5dc0
0x5df8
0x5f77
0x645f
0x65e4
0x6642
0x66b9
0x66df
