0x1bc
0x46a
0xa56
0xe42
0xf88
0xf93
0x1228
0x1316
0x1385
0x1444
0x145a
0x15cc
0x16b6
0x173e
0x1b28
0x1b52
0x1c90
0x1c9b
0x1d93
0x1f30
0x1f66
0x1fdb
0x2118
0x2217
0x2397
0x256c
0x2596
0x259f
0x2675
0x2846
0x2a61
0x2b74
0x2c61
0x2e3c
0x2e9a
0x3369
0x3517
0x3694
0x37c9
0x3946
0x3d08
0x3df2
0x3e0a
0x3e5e
0x3e8a
0x3eb6
0x3fec
0x4381
0x45b0
0x45b7
0x47c2
0x48bd
0x4993
0x4b64
0x4eaf
0x503c
0x546c
0x5786
0x5890
0x58d0
0x5956
0x599a
0x5acc
0x5afc
0x5bd7
