0x1638	0x64316664	320
0x16db	0x366635	320
0x1705	0x383435	320
0x1762	0x3761	320
0x179b	0x31613433	6631985
0x17a5	0x64356236313032	320
0x17a5	0x34313532343234	320
0x17a5	0x64333436356339	320
0x17a5	0x63333738646161	320
0x17a5	0x6333643637	320
0x4ee	0x64356236313032	320
0x4ee	0x34313532343234	320
0x4ee	0x64333436356339	320
0x4ee	0x63333738646161	320
0x4ee	0x6333643637	320
0x564	0x3033	320
0x60a	0x64356236313032	320
0x60a	0x34313532343234	320
0x60a	0x64333436356339	320
0x60a	0x63333738646161	320
0x60a	0x6333643637	320
0x6e8	0x64356236313032	320
0x6e8	0x34313532343234	320
0x6e8	0x64333436356339	320
0x6e8	0x63333738646161	320
0x6e8	0x6333643637	320
0x731	0x64356236313032	320
0x731	0x34313532343234	320
0x731	0x64333436356339	320
0x731	0x63333738646161	320
0x731	0x6333643637	320
0x81c	0x393235	946026339
0x81c	0x31613433	121320805
0x88a	0x64356236313032	320
0x88a	0x34313532343234	320
0x88a	0x64333436356339	320
0x88a	0x63333738646161	320
0x88a	0x6333643637	320
0xd6e	0x393235	946026339
0xd6e	0x31613433	121320805
0xdf0	0x3033	320
0x1220	0x3033	320
0x144a	0x3331	320
0x1508	0x393235	946026339
0x1508	0x31613433	121320805
0x154c	0x3033	320
0x15aa	0x3033	320
0x16b0	0x3033	320
0x1738	0x64356236313032	320
0x1738	0x34313532343234	320
0x1738	0x64333436356339	320
0x1738	0x63333738646161	320
0x1738	0x6333643637	320
0x1776	0x6662	320
