0x18	0x66666666666666
0x22	0x303630303230
0x29	0x3630
0x38	0x64646530333831
0x47	0x3537383036
0x51	0x613762333134
0x65	0x376162
0x69	0x37373134363130
0x73	0x353738303633
0x7f	0x6464313436
0x92	0x383732
0x96	0x6431343631
0xa9	0x65353637
0xb4	0x3435373830
0xbe	0x3038
0xca	0x64353738303633
0xd4	0x3839623431
0xe1	0x353738303633
0xe8	0x3930
0xed	0x62623134
0xf6	0x393537
0xfe	0x6436326564
0x105	0x313436313032
0x10c	0x663537356236
0x118	0x64356233343135
0x12e	0x64356236313030
0x136	0x3036
0x141	0x363034
0x189	0x383338
0x196	0x6435373830
0x1ab	0x363032
0x1b6	0x34353635
0x1bb	0x353035
0x1d3	0x31363830313536
0x1df	0x3537
0x1ff	0x3033
0x215	0x353039
0x22e	0x33356233343135
0x244	0x64356236313031
0x24d	0x3630
0x254	0x3036
0x25b	0x3033
0x271	0x3536356236
0x29a	0x33356233343135
0x2b0	0x64356236313031
0x2be	0x61353635
0x2c3	0x363034
0x2e4	0x33356233343135
0x2f1	0x353736303030
0x2fa	0x64356236313031
0x308	0x3935363562
0x32e	0x33356233343135
0x33a	0x3335
0x344	0x64356236313031
0x34d	0x3630
0x354	0x3036
0x35b	0x3033
0x37c	0x6635363562
0x3a6	0x33356233343135
0x3b2	0x6635373630
0x3bc	0x64356236313031
0x3c4	0x373631303635
0x3cf	0x363034
0x3d8	0x66393039313136
0x3f8	0x33356233343135
0x40e	0x64356236313031
0x41e	0x3036
0x425	0x3033
0x439	0x363034
0x45a	0x33356233343135
0x470	0x64356236313030
0x478	0x3036
0x483	0x363034
0x4cb	0x383338
0x4d8	0x6435373830
0x4ed	0x363032
0x4f8	0x34353635
0x4fd	0x353035
0x515	0x31363830313536
0x521	0x3537
0x541	0x3033
0x557	0x353039
0x570	0x33356233343135
0x57c	0x34353736
0x586	0x64356236313031
0x58f	0x3630
0x596	0x3036
0x59d	0x3033
0x5b2	0x6235
0x5b7	0x363034
0x5dc	0x33356233343135
0x5e8	0x61353736303030
0x5f2	0x64356236313031
0x602	0x3036
0x609	0x3033
0x629	0x363034
0x64a	0x33356236303430
0x665	0x38313532
0x66b	0x34343635366337
0x67d	0x36623635366530
0x6bb	0x363030
0x6c2	0x3036
0x6c9	0x3033
0x71d	0x38633562653165
0x726	0x626563376435
0x72d	0x643134
0x731	0x37313432376431
0x739	0x383466336464
0x744	0x30663762
0x74d	0x356232303061
0x754	0x38633763
0x75a	0x393235
0x780	0x3335
0x789	0x393239
0x795	0x366135
0x79a	0x376432
0x79e	0x6363383063
0x7a4	0x3265343030
0x7b3	0x363030
0x7bf	0x363030
0x7c6	0x3036
0x7cd	0x3033
0x7f8	0x3037313431
0x7fe	0x31616331
0x808	0x6466363638
0x810	0x633238613739
0x817	0x633533
0x81b	0x653039313633
0x822	0x333163373163
0x848	0x303630303230
0x84f	0x3633
0x852	0x66666666666666
0x89b	0x313531
0x8ae	0x64356236313032
0x8b6	0x36356130
0x8bc	0x34313531353631
0x8d0	0x64356235303530
0x8f1	0x35373530
0x8fc	0x3036
0x903	0x3033
0x94c	0x3037313431
0x952	0x31616331
0x95c	0x6466363638
0x964	0x633238613739
0x96b	0x633533
0x96f	0x653039323633
