0xe7
0xf4
0x85e
0x96a
0x9d0
0x9f9
0xaf2
0xb1a
0x107a
0x1091
0x11c0
0x1226
0x1244
0x12df
0x12f0
0x1356
0x1410
0x1436
0x1454
0x1464
0x14a6
0x14b6
0x14d0
0x14f6
0x1514
0x15ea
0x1625
0x1698
0x16ec
0x1719
0x18c2
0x1928
0x1bdd
0x1c64
0x1c89
0x1ca9
0x1ccd
0x1d68
0x1e86
0x1ee9
0x1fbc
0x217e
0x2279
0x242f
0x24aa
0x24d5
0x2512
0x2537
0x25e7
0x2681
0x26bd
0x27b3
0x27d8
0x28f2
0x28fc
