0x1a	0x333537	320
0xfc	0x353738303633	320
0xfc	0x64356238303335	320
0xfc	0x6237356433	320
0xfc	0x353635623530	320
0xfc	0x63333738646161	320
0xfc	0x65613136353632	320
0xfc	0x6565343866	320
0xfc	0x64323461646633	320
0x53f	0x3435	320
0xb97	0x623438	320
0xd5b	0x623438	320
0x131a	0x353738303633	320
0x131a	0x64356238303335	320
0x131a	0x6237356433	320
0x131a	0x353635623530	320
0x131a	0x63333738646161	320
0x131a	0x65613136353632	320
0x131a	0x6565343866	320
0x131a	0x64323461646633	320
0x131e	0x3761	320
0x1349	0x353738303633	2147483647
0x1349	0x64356238303335	2147483647
0x1349	0x6237356433	2147483647
0x1349	0x353635623530	2147483647
0x1349	0x63333738646161	2147483647
0x1349	0x65613136353632	2147483647
0x1349	0x6565343866	2147483647
0x1349	0x64323461646633	2147483647
0x1350	0x653533	320
0x6e0	0x353738303633	320
0x6e0	0x64356238303335	320
0x6e0	0x6237356433	320
0x6e0	0x353635623530	320
0x6e0	0x63333738646161	320
0x6e0	0x65613136353632	320
0x6e0	0x6565343866	320
0x6e0	0x64323461646633	320
0x9e0	0x393235	946026339
0x9e0	0x623438	943338848
0x9e0	0x31656530	121046120
0x9e0	0x653533	943141989
0xba4	0x31656530	320
0xbc7	0x353738303633	320
0xbc7	0x64356238303335	320
0xbc7	0x6237356433	320
0xbc7	0x353635623530	320
0xbc7	0x63333738646161	320
0xbc7	0x65613136353632	320
0xbc7	0x6565343866	320
0xbc7	0x64323461646633	320
0xd68	0x31656530	320
0xd8b	0x353738303633	320
0xd8b	0x64356238303335	320
0xd8b	0x6237356433	320
0xd8b	0x353635623530	320
0xd8b	0x63333738646161	320
0xd8b	0x65613136353632	320
0xd8b	0x6565343866	320
0xd8b	0x64323461646633	320
0x10c2	0x353738303633	320
0x10c2	0x64356238303335	320
0x10c2	0x6237356433	320
0x10c2	0x353635623530	320
0x10c2	0x63333738646161	320
0x10c2	0x65613136353632	320
0x10c2	0x6565343866	320
0x10c2	0x64323461646633	320
0x127c	0x353738303633	320
0x127c	0x64356238303335	320
0x127c	0x6237356433	320
0x127c	0x353635623530	320
0x127c	0x63333738646161	320
0x127c	0x65613136353632	320
0x127c	0x6565343866	320
0x127c	0x64323461646633	320
0x129c	0x336566	320
0x132c	0x353738303633	320
0x132c	0x64356238303335	320
0x132c	0x6237356433	320
0x132c	0x353635623530	320
0x132c	0x63333738646161	320
0x132c	0x65613136353632	320
0x132c	0x6565343866	320
0x132c	0x64323461646633	320
