0xed
0x1bb
0x1d3
0x4ef
0x5a8
0x65d
0x934
0x93d
0xdb5
0xe48
0x1090
0x10f0
0x12d4
0x132d
0x1400
0x1438
0x15db
0x16c1
0x1744
0x1942
0x19a8
0x1ace
0x1c54
0x1ca8
0x1cb6
0x1faa
0x1fcc
0x2107
0x2140
0x2187
0x22db
0x2304
0x2314
0x23e0
0x261e
0x267c
0x285b
0x2ff1
0x3078
0x343d
0x3999
0x3c7f
0x3e25
0x3e39
