0x1fb
0x213
0x336
0x33f
0x3da
0x559
0x597
0x627
0x653
0x712
0x719
0x76a
0x771
0x809
0x84c
0x851
0x89b
0x8b2
0x8ba
0x93d
0xa1c
0xa24
0xa2b
0xab9
0xadf
0xb1d
0xbca
0xcad
0xfd7
0x1084
0x10c0
0x1110
0x1373
0x140a
0x142d
0x1434
0x14b2
0x14dc
0x14f6
0x1508
0x15b5
0x15c0
0x15cb
0x181e
0x184e
0x1a65
0x1a8a
0x1e80
0x1e87
0x1fc7
0x2222
0x224c
0x2352
0x24fd
0x2555
