0xc2
0x191
0x1ca
0x296
0x3e0
0x5ce
0x5d3
0x5f2
0x644
0x79c
0x7a5
0xa98
0xb78
0xc12
0xda4
0xf42
0xf9b
0xfe2
0x11dc
0x12a7
0x1410
0x1470
0x178c
0x17ea
0x19c9
0x215f
0x256f
0x2acb
0x2db1
0x2f80
0x2f93
0x2fba
