0x11a
0x1a7
0x1f8
0x65a
0x88c
0x93a
0xac6
0xb90
0xdfc
0xfb6
0x100f
0x1056
0x1098
0x1293
0x12e0
0x13fe
0x1436
0x1458
0x15c2
0x199b
0x2127
0x2537
0x2a89
0x2d6f
0x3006
0x3064
0x3134
0x3145
0x316b
