0x1bf
0x229
0x2ed
0x313
0x37c
0x5a2
0x634
0x880
0x8aa
0x8f2
0x98a
0x9b4
0xa02
0xa44
0xaea
0xb0f
0xb26
0xb9a
0xbfe
0xceb
0xdb4
0xe69
0xe83
0x131a
0x134e
0x136c
0x139c
0x1462
0x14be
0x14ce
0x14e8
0x1510
0x1520
0x1530
0x155a
0x1596
0x15a9
0x15b0
0x172a
0x174f
0x1766
0x1896
0x18b4
0x18f1
0x1922
0x1941
0x1a08
0x1bff
0x1d14
0x1d77
0x1e16
0x1ee7
0x1f09
