0x10a
0x191
0x638
0x704
0x7ba
0x8ec
0xa76
0xb40
0xc36
0xe76
0x1014
0x106d
0x10b4
0x12ae
0x1379
0x1412
0x1421
0x1448
0x148c
0x14e2
0x1542
0x1564
0x185e
0x18bc
0x1a9b
0x2231
0x2641
0x2b9d
0x2e83
0x3052
0x3065
