0x14d
0x172
0x21e
0x308
0x343
0x3fc
0x493
0x4aa
0x4b4
0x517
0x556
0x55b
0x5a0
0x71c
0x771
0x7e7
0xa8d
0xb61
0xbe2
0xc55
0xf07
0xfbe
0xffb
