0xf0b
0xf15
0xf27
0xf2b
0xf30
0xfae
0xffc
0x1049
0x108c
0x109f
0x10bc
0x10bd
0x10cc
0x10d0
0x10d7
0x10f1
0x10f5
0x10f8
0x1115
0x11ee
0x11f3
0x11fe
0x1206
0x1220
0x122b
0x1233
0x1258
0x1273
0x12a0
0x12ae
0x12b9
0x12ee
0x1308
0x1313
0x131b
0x1331
0x133c
0x1390
0x13aa
0x13b5
0x13bd
0x13d3
0x13de
0x1413
0x142d
0x1438
0x146d
0x1487
0x1492
0x14be
0x14d4
0x14df
0x14e7
0x1501
0x150c
0x1514
0x1556
0x1561
0x1569
0x158e
0x15a9
0x15d6
0x15e4
0x15ef
0x1624
0x163e
0x1649
0x167e
0x1698
0x16a3
0x16ee
0x1704
0x170f
0x173b
0x173d
0x1750
0x17bb
0x17c9
0x17e6
0x17ee
0x18e0
0x18e6
0x1925
0x19f6
0x1a8b
0x1ae1
0x1bd2
0x1bd8
0x1c36
0x1c52
0x1c67
0x1cbf
0x1daa
0x1ebb
0x1ece
0x1f4f
0x203b
0x2084
0x20e2
0x2130
0x2156
0x21c1
0x21cf
0x21ec
0x21f4
0x2231
0x2283
0x2318
0x23ca
0x245b
0x25c6
0x264d
0x26a9
0x26e5
0x27a5
0x27b3
0x27be
0x27d2
0x288a
0x2891
0x2896
0x289f
0x28a4
0x28a9
0x28ae
0x28b3
0x28b8
0x28bd
0x28c2
0x28c7
0x28cc
0x28d1
0x28d6
0x28db
0x28e0
0x28e5
0x28ea
0x28ef
0x28f4
0x28fb
0x2902
0x2909
0x290e
0x2915
0x291c
0x2923
0x292a
0x2931
0x2938
0x293f
0x2946
0x294d
0x2954
0x295b
0x2960
0x2967
0x296e
0x2973
0x297a
0x297f
0x2986
0x298b
0x2996
0x299b
0x29a4
0x29ad
0x29b2
0x29b7
0x29be
0x29c3
0x29ce
0x29d3
0x29d8
0x29dd
