0x0	__function_selector__
0xdb	fallback()
0xdb	batchLock_63efZf()
0xe6	rate()
0x10f	getMessageCount()
0x138	endTime()
0x161	weiRaised()
0x18a	leaveMessage(string)
0x1ff	changeDekzAddress(address)
0x250	wallet()
0x2a5	takeAllTheMoney(address)
0x2f6	startTime()
0x31f	getMessage(uint256)
0x3bb	owner()
0x410	buyTokens(address)
0x43e	hasEnded()
0x46b	transferOwnership(address)
0x4a4	token()
0x4f9	0x4f9
0xba3	0xba3
0xd5f	0xd5f
0xe9e	0xe9e
