0xde
0x139
0x15a
0x15e
0x18e
0x498
0x58e
0x593
0x5fa
0xb59
0xc7a
0xd81
0xd99
0x117d
0x12d2
0x14a4
0x157f
0x17eb
0x17f4
0x1abb
0x1c3f
0x1c66
