0x0	__function_selector__
0x137	fallback()
0x137	batchLock_63efZf()
0x13c	removeAlerter(address)
0x164	matchingEngine()
0x188	pendingAdmin()
0x190	getOperators()
0x1e8	withdrawToken(address,uint256,address)
0x21e	addAlerter(address)
0x244	getPricesForToken(address,uint256,uint256)
0x399	kyberDao()
0x3a1	transferAdmin(address)
0x3c7	claimAdmin()
0x3cf	transferAdminQuickly(address)
0x3f5	getAlerters()
0x3fd	addOperator(address)
0x423	kyberStorage()
0x42b	removeOperator(address)
0x451	getRatesForToken(address,uint256,uint256)
0x483	setContracts(address,address,address)
0x4bb	getRatesForTokenWithCustomFee(address,uint256,uint256,uint256)
0x4f3	withdrawEther(uint256,address)
0x51f	getReservesRates(address,uint256)
0x54b	admin()
0x71d	0x71d
0xc4e	0xc4e
0x127a	0x127a
0x1497	0x1497
0x14e5	0x14e5
0x1b20	0x1b20
0x2081	0x2081
0x2147	0x2147
0x22da	0x22da
0x246c	0x246c
