0xb03	0xaee	0x0	0	19
0xbfb	0xbe7	0x0	0	19
0x54b0x17b	0x148b	0x0	0	19
0x14a3V0x553	0x149a0x553	0x0	0	19
0x14a3V0x77f	0x149a0x77f	0x0	0	19
0x14a3V0x862	0x149a0x862	0x0	0	19
0x14a3V0x9ec	0x149a0x9ec	0x0	0	19
0x14a3V0xb5b	0x149a0xb5b	0x0	0	19
0x14a3V0xcae	0x149a0xcae	0x0	0	19
0x14a3V0xe16	0x149a0xe16	0x0	0	19
0x14a3V0x1055	0x149a0x1055	0x0	0	19
0x14a3V0x12ac	0x149a0x12ac	0x0	0	19
0xaa7	0xa9e	0x1	0	19
0xafd	0xaeb	0x1	0	19
0xb52	0xb38	0x1	0	19
0x1880x17b	0x711	0x1	0	19
0x5da	0x5da	0x5	0	31
0x5f0	0x5f0	0x5	0	31
0x617	0x617	0x5	0	31
0x635	0x635	0x5	0	31
0x67d	0x67d	0x5	0	31
0x8cc	0x8cc	0x5	0	31
0x97c	0x97c	0x5	0	31
0xc54	0xc54	0x5	0	31
0xc71	0xc71	0x5	0	31
0x1150	0x1143	0x7	0	19
0x1640x17b	0x702	0x7	0	19
0x155dV0x13e9	0x150a0x13e9	0x7	0	19
0x1b98V0x1468	0x1b450x1468	0x7	0	19
0x155dV0x127a0x4bb	0x150a0x127a0x4bb	0x7	0	19
0x1b98V0x128b0x4bb	0x1b450x128b0x4bb	0x7	0	19
0x155dV0x127aV0x9b9	0x150a0x127a0x9b9	0x7	0	19
0x1b98V0x128b0x127aV0x9b9	0x1b450x128b0x127a0x9b9	0x7	0	19
0x155dV0x127aV0x1033	0x150a0x127a0x1033	0x7	0	19
0x1b98V0x128b0x127aV0x1033	0x1b450x128b0x127a0x1033	0x7	0	19
0xfe7	0xfc2	0x8	0	19
0x11b7	0x11aa	0x8	0	19
0x1382	0x135d	0x8	0	19
0x3990x17b	0x9e0	0x8	0	19
0xd19	0xd19	0x4	0	31
0xdca	0xdca	0x4	0	31
0xe9e	0xe9e	0x4	0	31
0xeb4	0xeb4	0x4	0	31
0xedb	0xedb	0x4	0	31
0xef9	0xef9	0x4	0	31
0xf41	0xf41	0x4	0	31
0x723V0x190	0x7230x190	0x4	0	31
0x740V0x190	0x7400x190	0x4	0	31
0x121e	0x1211	0x9	0	19
0x4230x17b	0xe0a	0x9	0	19
0x1883V0x13e9	0x18760x13e9	0x9	0	19
0x16fbV0x13e9	0x16d10x13e9	0x9	0	19
0x1ebeV0x1468	0x1eb10x1468	0x9	0	19
0x1d36V0x1468	0x1d0c0x1468	0x9	0	19
0x1883V0x127a0x4bb	0x18760x127a0x4bb	0x9	0	19
0x16fbV0x127a0x4bb	0x16d10x127a0x4bb	0x9	0	19
0x1ebeV0x128b0x4bb	0x1eb10x128b0x4bb	0x9	0	19
0x1d36V0x128b0x4bb	0x1d0c0x128b0x4bb	0x9	0	19
0x1883V0x127aV0x9b9	0x18760x127a0x9b9	0x9	0	19
0x16fbV0x127aV0x9b9	0x16d10x127a0x9b9	0x9	0	19
0x1ebeV0x128b0x127aV0x9b9	0x1eb10x128b0x127a0x9b9	0x9	0	19
0x1d36V0x128b0x127aV0x9b9	0x1d0c0x128b0x127a0x9b9	0x9	0	19
0x1883V0x127aV0x1033	0x18760x127a0x1033	0x9	0	19
0x16fbV0x127aV0x1033	0x16d10x127a0x1033	0x9	0	19
0x1ebeV0x128b0x127aV0x1033	0x1eb10x128b0x127a0x1033	0x9	0	19
0x1d36V0x128b0x127aV0x1033	0x1d0c0x128b0x127a0x1033	0x9	0	19
