0x7a7	0x7ea	0	0x7a2
0x20ec	0x210a	0	0x20e7
0x15180x127a	0x15840x127a	0	0x150fV0x127a
0x18ad0x127a	0x18d50x127a	0	0x18a8V0x127a
0x15180x13e9	0x15840x13e9	0	0x150fV0x13e9
0x18ad0x13e9	0x18d50x13e9	0	0x18a8V0x13e9
0x1b530x1468	0x1bbf0x1468	0	0x1b4aV0x1468
0x1ee80x1468	0x1f100x1468	0	0x1ee3V0x1468
0x15180x127a0x4bb	0x15840x127a0x4bb	0	0x150fV0x127a0x4bb
0x18ad0x127a0x4bb	0x18d50x127a0x4bb	0	0x18a8V0x127a0x4bb
0x1b530x128b0x4bb	0x1bbf0x128b0x4bb	0	0x1b4aV0x128b0x4bb
0x1ee80x128b0x4bb	0x1f100x128b0x4bb	0	0x1ee3V0x128b0x4bb
0x1b530x128b0x127a	0x1bbf0x128b0x127a	0	0x1b4aV0x128b0x127a
0x1ee80x128b0x127a	0x1f100x128b0x127a	0	0x1ee3V0x128b0x127a
