0xcb
0x1b8
0x2c3
0x2e3
0x376
0x62e
0x67c
0x73a
0x78f
0x808
0x87a
0x936
0xe7f
0x101f
0x1113
0x11a1
0x1208
0x124a
0x125c
0x1272
0x129e
0x12e8
0x12ed
0x12f3
0x130a
0x132a
0x1362
0x13c0
0x140a
0x1453
0x1502
0x1534
0x154c
0x1696
0x16e2
0x1708
0x180a
0x1844
0x1852
0x190e
0x19e5
0x1abb
0x1c14
0x1c1d
0x1dbe
0x1dde
0x1dfb
0x1e5e
0x1e63
0x1eb8
0x1f0c
0x1f4e
0x1f74
0x1f79
0x1f90
0x20be
0x212b
0x21ca
0x2229
0x2272
0x227b
0x2331
0x245b
0x269e
0x274d
0x2772
0x2777
0x291a
0x2a28
0x2b5e
0x2bce
0x2c19
0x2c3b
