0x11b9	0x363035
0x11db	0x61393035396362
0x11e3	0x303030
0x122d	0x383038
0x126f	0x356166313830
0x1284	0x64356235303530
0x12af	0x353035
0x12c4	0x3136
0x12cb	0x3761
0x12d8	0x6434
0x12dc	0x64666462
0x12e6	0x30646531303538
0x12ef	0x3339
0x12f2	0x64366562
0x12f7	0x346561346632
0x1300	0x326338376134
0x1308	0x61336538646566
0x1311	0x63383132
