0xda	0x3362	320
0x1c9	0x66666666666666	320
0x1c9	0x363631303337	320
0x1c9	0x6635373832	320
0x1c9	0x65316632316336	320
0x1c9	0x316632316336	320
0x1c9	0x64356235303531	320
0x1c9	0x6163626561	320
0x1c9	0x63333738646161	320
0x1c9	0x63303239303834	320
0x1c9	0x62616538303461	320
0x541	0x3535	320
0x823	0x66666666666666	320
0x823	0x363631303337	320
0x823	0x6635373832	320
0x823	0x65316632316336	320
0x823	0x316632316336	320
0x823	0x64356235303531	320
0x823	0x6163626561	320
0x823	0x63333738646161	320
0x823	0x63303239303834	320
0x823	0x62616538303461	320
0x8b9	0x66666666666666	320
0x8b9	0x363631303337	320
0x8b9	0x6635373832	320
0x8b9	0x65316632316336	320
0x8b9	0x316632316336	320
0x8b9	0x64356235303531	320
0x8b9	0x6163626561	320
0x8b9	0x63333738646161	320
0x8b9	0x63303239303834	320
0x8b9	0x62616538303461	320
0x947	0x3835	320
0x1621	0x313535	320
0x163b	0x323235	320
0x165f	0x66666666666666	320
0x165f	0x363631303337	320
0x165f	0x6635373832	320
0x165f	0x65316632316336	320
0x165f	0x316632316336	320
0x165f	0x64356235303531	320
0x165f	0x6163626561	320
0x165f	0x63333738646161	320
0x165f	0x63303239303834	320
0x165f	0x62616538303461	320
0x1721	0x393535	320
0x173f	0x613935	320
0x1775	0x626635	320
0x19eb	0x393535	320
0x1a00	0x3835	108
0x1a00	0x3761	320
0x4a8	0x3033	320
0x7e8	0x66666666666666	320
0x7e8	0x363631303337	320
0x7e8	0x6635373832	320
0x7e8	0x65316632316336	320
0x7e8	0x316632316336	320
0x7e8	0x64356235303531	320
0x7e8	0x6163626561	320
0x7e8	0x63333738646161	320
0x7e8	0x63303239303834	320
0x7e8	0x62616538303461	320
0x9ce	0x393235	946026339
0x9ce	0x36346662	40370998
0x9ce	0x393535	946025571
0x9ce	0x613935	943403107
0x9ce	0x626635	943326051
0xaf6	0x66666666666666	320
0xaf6	0x363631303337	320
0xaf6	0x6635373832	320
0xaf6	0x65316632316336	320
0xaf6	0x316632316336	320
0xaf6	0x64356235303531	320
0xaf6	0x6163626561	320
0xaf6	0x63333738646161	320
0xaf6	0x63303239303834	320
0xaf6	0x62616538303461	320
0xbc0	0x66666666666666	320
0xbc0	0x363631303337	320
0xbc0	0x6635373832	320
0xbc0	0x65316632316336	320
0xbc0	0x316632316336	320
0xbc0	0x64356235303531	320
0xbc0	0x6163626561	320
0xbc0	0x63333738646161	320
0xbc0	0x63303239303834	320
0xbc0	0x62616538303461	320
0xcb0	0x66666666666666	320
0xcb0	0x363631303337	320
0xcb0	0x6635373832	320
0xcb0	0x65316632316336	320
0xcb0	0x316632316336	320
0xcb0	0x64356235303531	320
0xcb0	0x6163626561	320
0xcb0	0x63333738646161	320
0xcb0	0x63303239303834	320
0xcb0	0x62616538303461	320
0xe02	0x3033	320
0xe14	0x36346662	320
0xf08	0x3033	320
0x111a	0x66666666666666	320
0x111a	0x363631303337	320
0x111a	0x6635373832	320
0x111a	0x65316632316336	320
0x111a	0x316632316336	320
0x111a	0x64356235303531	320
0x111a	0x6163626561	320
0x111a	0x63333738646161	320
0x111a	0x63303239303834	320
0x111a	0x62616538303461	320
0x1182	0x36346662	320
0x125e	0x66666666666666	320
0x125e	0x363631303337	320
0x125e	0x6635373832	320
0x125e	0x65316632316336	320
0x125e	0x316632316336	320
0x125e	0x64356235303531	320
0x125e	0x6163626561	320
0x125e	0x63333738646161	320
0x125e	0x63303239303834	320
0x125e	0x62616538303461	320
0x14f8	0x66666666666666	320
0x14f8	0x363631303337	320
0x14f8	0x6635373832	320
0x14f8	0x65316632316336	320
0x14f8	0x316632316336	320
0x14f8	0x64356235303531	320
0x14f8	0x6163626561	320
0x14f8	0x63333738646161	320
0x14f8	0x63303239303834	320
0x14f8	0x62616538303461	320
0x1518	0x336566	320
0x1596	0x36346662	320
0x1784	0x66666666666666	320
0x1784	0x363631303337	320
0x1784	0x6635373832	320
0x1784	0x65316632316336	320
0x1784	0x316632316336	320
0x1784	0x64356235303531	320
0x1784	0x6163626561	320
0x1784	0x63333738646161	320
0x1784	0x63303239303834	320
0x1784	0x62616538303461	320
0x17da	0x3033	320
0x17ec	0x36346662	320
0x18dc	0x66666666666666	320
0x18dc	0x363631303337	320
0x18dc	0x6635373832	320
0x18dc	0x65316632316336	320
0x18dc	0x316632316336	320
0x18dc	0x64356235303531	320
0x18dc	0x6163626561	320
0x18dc	0x63333738646161	320
0x18dc	0x63303239303834	320
0x18dc	0x62616538303461	320
0x1a4b	0x303032	320
