0x19	0x3035	320
0x7f	0x3535	320
0xeb	0x383732	320
0x192	0x66666666666666	808466022
0x192	0x31306631	2130694196
0x192	0x30303666	2147483647
0x192	0x33656466	2093666815
0x192	0x35373830363338	808466022
0x192	0x36363131	2046428468
0x192	0x313835373832	808466022
0x192	0x323039303931	808466022
0x192	0x336335363562	808466022
0x192	0x64356236303030	808466022
0x192	0x66666666663136	808466022
0x192	0x63333738646161	808466022
0x192	0x353766653562	808466022
0x192	0x35373830363030	808466022
0x192	0x35353766653562	808466022
0x192	0x66303231393136	808466022
0x192	0x623133336631	808466022
0x192	0x6465306635	808466022
0x192	0x64316664	1274990593
0x192	0x3431323133	808466022
0x192	0x64356236313335	808466022
0x24d	0x3535	64
0x24d	0x3435	320
0x2e7	0x323535	320
0xf3f	0x3535	64
0xf3f	0x3435	320
0x133b	0x3235	320
0x133b	0x3261	276
0x1659	0x333135	320
0x1723	0x393635	320
0x21b8	0x66666666666666	320
0x21b8	0x35373830363338	320
0x21b8	0x313835373832	320
0x21b8	0x323039303931	320
0x21b8	0x336335363562	320
0x21b8	0x64356236303030	320
0x21b8	0x66666666663136	320
0x21b8	0x63333738646161	320
0x21b8	0x353766653562	320
0x21b8	0x35373830363030	320
0x21b8	0x35353766653562	320
0x21b8	0x66303231393136	320
0x21b8	0x623133336631	320
0x21b8	0x6465306635	320
0x21b8	0x3431323133	320
0x21b8	0x64356236313335	320
0x2290	0x66666666666666	2147483647
0x2290	0x35373830363338	2147483647
0x2290	0x313835373832	2147483647
0x2290	0x323039303931	2147483647
0x2290	0x336335363562	2147483647
0x2290	0x64356236303030	2147483647
0x2290	0x66666666663136	2147483647
0x2290	0x63333738646161	2147483647
0x2290	0x353766653562	2147483647
0x2290	0x35373830363030	2147483647
0x2290	0x35353766653562	2147483647
0x2290	0x66303231393136	2147483647
0x2290	0x623133336631	2147483647
0x2290	0x6465306635	2147483647
0x2290	0x3431323133	2147483647
0x2290	0x64356236313335	2147483647
0x256c	0x66666666666666	2147483647
0x256c	0x35373830363338	2147483647
0x256c	0x313835373832	2147483647
0x256c	0x323039303931	2147483647
0x256c	0x336335363562	2147483647
0x256c	0x64356236303030	2147483647
0x256c	0x66666666663136	2147483647
0x256c	0x63333738646161	2147483647
0x256c	0x353766653562	2147483647
0x256c	0x35373830363030	2147483647
0x256c	0x35353766653562	2147483647
0x256c	0x66303231393136	2147483647
0x256c	0x623133336631	2147483647
0x256c	0x6465306635	2147483647
0x256c	0x3431323133	2147483647
0x256c	0x64356236313335	2147483647
0x28ea	0x66666666666666	2147483647
0x28ea	0x35373830363338	2147483647
0x28ea	0x313835373832	2147483647
0x28ea	0x323039303931	2147483647
0x28ea	0x336335363562	2147483647
0x28ea	0x64356236303030	2147483647
0x28ea	0x66666666663136	2147483647
0x28ea	0x63333738646161	2147483647
0x28ea	0x353766653562	2147483647
0x28ea	0x35373830363030	2147483647
0x28ea	0x35353766653562	2147483647
0x28ea	0x66303231393136	2147483647
0x28ea	0x623133336631	2147483647
0x28ea	0x6465306635	2147483647
0x28ea	0x3431323133	2147483647
0x28ea	0x64356236313335	2147483647
0x2b49	0x6435	320
0x2f57	0x66666666666666	320
0x2f57	0x35373830363338	320
0x2f57	0x313835373832	320
0x2f57	0x323039303931	320
0x2f57	0x336335363562	320
0x2f57	0x64356236303030	320
0x2f57	0x66666666663136	320
0x2f57	0x63333738646161	320
0x2f57	0x353766653562	320
0x2f57	0x35373830363030	320
0x2f57	0x35353766653562	320
0x2f57	0x66303231393136	320
