0x1cf
0x215
0x220
0x225
0x255
0x58c
0x632
0x949
0xbb2
0xc9f
0xe54
0x1253
0x1382
0x13b2
0x13dc
0x1484
0x1627
0x190d
0x1968
0x197a
0x19b2
0x1b00
0x1b5a
0x1b62
0x1de4
0x1f74
0x1f97
0x1fa1
0x2174
0x21f8
0x242e
0x2580
0x2661
0x2878
0x2cff
0x2d5a
0x2d6c
0x2ee9
0x2f8f
0x3480
0x34a0
0x34cd
