0xee
0x414
0x4cc
0x608
0x87b
0x8f9
0xa1f
0xa29
0xa38
0xad9
0xaf1
0xafa
0xd64
0xd71
0xd7a
0xdce
0xe02
0xea2
0xeaf
0xeb8
0xf0d
0xf1a
0xfbd
0x1042
0x10c1
