0xa3	0x0
0x2e3	0x59f8b16
0x30a	0x2d95663b
0x31f	0x94f649dd
0x41e	0x9f9fb968
0x45e	0xabce62a8
0x473	0xb8f77005
0x488	0xc533a5a3
0x49d	0xc67f7df5
0x4be	0xdd5967c3
0x4d3	0xe1e158a5
