0xae	0x118
0x126	0x138
0x13b	0x143
0x150	0x158
0x27e	0x28b
0x2c9	0x2d6
0x2d8	0x2df
0x2db	0x54a
0x2e7	0x2ef
0x2f1	0x2f80x2e3
0x2f4	0x6e3
0x30e	0x316
0x318	0x2f80x30a
0x31b	0x6e8
0x323	0x32b
0x32d	0x340
0x33c	0x6ee
0x375	0x388
0x384	0x370
0x3b4	0x3c7
0x3c3	0x3af
0x3f3	0x406
0x402	0x3ee
0x422	0x42a
0x42c	0x436
0x432	0x87e
0x462	0x46a
0x46c	0x2f80x45e
0x46f	0x8d7
0x477	0x47f
0x481	0x2f80x473
0x484	0x8dc
0x48c	0x494
0x496	0x2f80x488
0x499	0x8e6
0x4a1	0x4a9
0x4c2	0x4ca
0x4cc	0x2f80x4be
0x4cf	0x8eb
0x4d7	0x4df
0x4e1	0x2f80x4d3
0x4e4	0x8f8
0x4f8	0x543
0x50f	0x514
0x531	0x53b
0x53f	0x4f1
0x558	0x6d5
0x56c	0x571
0x5a0	0x652
0x5e6	0x5f3
0x61a	0x61f
0x64e	0x6bc
0x686	0x693
0x6b8	0x6d5
0x6c2	0x6ca
0x6c6	0x6d5
0x6d1	0x551
0x71b	0x72e
0x748	0x75b
0x775	0x788
0x791	0x873
0x7a5	0x873
0x7b1	0x7b6
0x7db	0x868
0x7e8	0x7ed
0x811	0x816
0x845	0x84a
0x86f	0x79e
0x88e	0x893
0x92f	0x945
0x931	0x948
0x933	0x94b
0x935	0x94e
0x937	0x951
0x939	0x954
0x93b	0x957
0x93d	0x95a
0x93f	0x95d
0x941	0x960
0x943	0x963
