0x3a
0xe9
0x3dc
0x4c4
0x5a0
0x5c8
0x5dc
0x68d
0x6e0
0x70a
0x762
0x78c
0x7fc
0x824
0x838
0x844
0x8e9
0x93c
0x9b3
0xa32
0xaec
0xb4e
0xbbc
0xbe4
0xbf8
0xc04
0xca9
0xcfc
0xdce
0xdf8
0xeb6
0xede
0xef2
0xefc
0xefe
0xf3a
0xfa3
0xff6
0x109f
0x1114
0x1140
0x11c8
0x12ba
0x131c
0x1355
0x1361
