0xca
0x109
0x121
0x14b
0x3ea
0x57c
0x5aa
0x838
0x8a8
0x91e
0xb17
0xdcb
0xe1e
0xe88
0xec6
0x1151
0x1207
0x130d
0x13d1
0x1406
0x1424
0x1498
0x1539
0x1578
0x1596
0x15b0
0x15cc
