0x19b
0x2bc
0x340
0x356
0x35f
0x36c
0x376
0x501
0x880
0xa9e
0xaa8
0xbee
0xc9a
0xcec
0xd96
0xe38
0xe8a
0xf86
0x10d8
0x142c
0x14a0
0x14c4
0x14ec
0x1548
0x159a
0x1a1c
0x1b50
0x1baa
0x1df6
0x1fa8
0x1fb5
0x1fbd
0x1fd8
0x1fe5
0x1fed
0x2008
0x20ee
0x21c8
0x22da
0x25af
0x2672
0x2762
0x295e
0x2c8d
0x2e0d
0x2f74
0x3146
0x3243
0x3372
0x340e
0x3480
0x3648
0x38b0
0x3c85
0x3d18
0x3f52
0x3fd6
0x4368
0x436e
0x448e
0x4734
0x47be
0x4856
0x4874
0x4879
0x488a
0x48ba
0x492e
0x497c
0x4aea
0x4ff7
0x532f
0x5391
