0x18b
0x47a
0x522
0x718
0x914
0x980
0x98b
0xa3b
0xaa7
0xb59
0xc22
0xcbb
0xce4
0xd50
0xdad
0xf29
0xf83
0x1125
0x1295
0x12c1
0x13ce
0x13da
0x1408
0x143a
0x1467
0x146e
0x1516
0x1583
0x162c
0x164b
0x170d
0x1746
0x1820
0x184a
0x1a1e
0x1af5
0x1c68
0x1cd7
0x1d4a
0x1d65
0x1d9a
0x1d9e
