0x1f9
0x219
0x498
0x4e2
0x5b4
0x5bd
0x5d4
0x61e
0x668
0x6b2
0x6fc
0x75e
0x8f8
0x95c
0x965
0xa92
0xb48
0xb92
0xbdc
0xc26
0xc94
0xcde
0xd53
0xef3
0xf69
0x1200
0x135f
0x13da
0x141c
0x1446
0x1621
0x1738
0x18c6
0x1a57
0x1b90
0x1b99
0x1cbe
0x1cf2
0x1d72
0x1dee
0x1e52
0x2005
0x21fe
0x24cc
0x263e
0x2981
0x2a05
0x2b1c
0x2caa
0x2df2
0x2e5c
0x2f5d
0x2f74
0x302e
0x33a4
0x33fa
0x341e
0x344a
0x34c0
0x3515
0x355f
