0xab	0x6335	320
0x549	0x3935	320
0x95b	0x396434	320
0x1147	0x3935	64
0x1147	0x3835	320
0x1315	0x3336	320
0x1661	0x333535	320
0x168b	0x346135	320
0x16e8	0x64316664	320
0x1779	0x626535	320
0x17a3	0x643335	320
0x17c0	0x3835	108
0x17c0	0x3761	320
0x51c	0x3033	320
0x51c	0x3064	271
0x8ec	0x393235	946026339
0x8ec	0x396434	946013540
0x8ec	0x626535	943326307
0x8ec	0x643335	943208035
0x951	0x3064	320
0x959	0x393235	2146894590
0x959	0x396434	2146881791
0x959	0x303534	2147483647
0x959	0x63333738646161	3159348
0x959	0x336566	2147274701
0x959	0x64356235303531	3159348
0x959	0x333535	2147287038
0x959	0x346135	2147210238
0x959	0x64316664	469683919
0x959	0x626535	2144194558
0x959	0x643335	2144076286
0x959	0x363435326363	3159348
0xc1a	0x63333738646161	320
0xc1a	0x64356235303531	320
0xc1a	0x363435326363	320
0xc3a	0x336566	320
0xe32	0x393235	946026339
0xe32	0x396434	946013540
0xe32	0x626535	943326307
0xe32	0x643335	943208035
0x10e0	0x63333738646161	320
0x10e0	0x64356235303531	320
0x10e0	0x363435326363	320
0x1100	0x336566	320
0x12d6	0x63333738646161	320
0x12d6	0x64356235303531	320
0x12d6	0x363435326363	320
0x12f6	0x336566	320
0x144c	0x393235	946026339
0x144c	0x396434	946013540
0x144c	0x626535	943326307
0x144c	0x643335	943208035
0x1508	0x3033	320
0x1508	0x3064	271
0x15da	0x63333738646161	320
0x15da	0x64356235303531	320
0x15da	0x363435326363	320
0x15f8	0x3033	320
0x15f8	0x3064	271
0x174e	0x3033	320
0x174e	0x3064	271
0x17e1	0x63333738646161	14132
0x17e1	0x64356235303531	14132
0x17e1	0x363435326363	14132
