0x10b	0x0
0x110	0x1914c7d6
0x13f	0x48cd4258
0x147	0x6813925e
0x180	0x70740ac9
0x18a	0x715018a6
0x192	0x7974ea5f
0x254	0x8da5cb5b
0x25c	0x8f32d59b
0x278	0x9b19251a
0x29e	0x9f5b4049
0x2a6	0x9fe285da
0x2ae	0xaff177ca
0x320	0xb248ed0a
0x34c	0xc34f6b0d
0x3ed	0xc4d6b7cc
0x3f5	0xdaa5f36d
0x3fd	0xf2fde38b
