0x0	__function_selector__
0x10b	fallback()
0x10b	batchLock_63efZf()
0x110	prizeTokensId(uint256)
0x13f	prizeDelay()
0x147	prizeTokens(uint256)
0x180	claimPrize()
0x18a	renounceOwnership()
0x192	sendPrize(address[],uint256[])
0x254	owner()
0x25c	isOwner()
0x278	whitelist(address)
0x29e	lastSecretSanta()
0x2a6	isTooLate()
0x2ae	updateWhitelist(address[],bool)
0x320	sendPresent(address,uint256)
0x34c	getPrize()
0x3ed	isPrizeClaimed()
0x3f5	lastPresentAt()
0x3fd	transferOwnership(address)
0x9ad	0x9ad
