0x0	30
0xd	45
0x81	6
0xeb	6
0x118	6
0x16d	6
0x196	6
0x274	5008
0x2aa	6
0x3a3	1202
0x3f5	6
0x498	99
0x4cb	10285
0x1c6	0
0x85	49
0x9b	79
0x1b8	235
0xef	15
0xf7	1
0x20b	276
0x10f	1
0x28e	234
0x11c	15
0x124	62
0x40d	251
0x171	15
0x179	50
0x433	215
0x19a	15
0x1a2	50
0x439	215
0x1c7	546
0x26e	17
0x28c	9
0x2a3	20
0x2ae	10534
0x30e	11044
0x48a	5235
0x3fa	15
0x3f9	1
0x402	5026
0x43f	193
0x47d	5034
0x4b7	15
0x4b6	1
0x4bc	10
0x507	12
0x503	14
0x4c2	26
0x534	12
0x537	12
0x53a	12
0x53d	12
0x540	12
0x543	12
0x546	12
0x78	1
0x7a	19
0xe4	19
0xf9	49
0x111	19
0x166	19
0x18f	19
0x41	22
0x4c	22
0x57	22
0x62	22
0x6d	22
0x263	216
0x29d	14
