0x0	__function_selector__
0x10b	findWinner(uint256)
0x16f	joinPot()
0x188	__callback(bytes32,string)
0x2e6	balances(address)
0x303	amountWon()
0x311	endTime()
0x31f	slots(uint256)
0x361	__callback(bytes32,string,bytes)
0x3f5	getEndTime()
0x404	withdrawBalance()
0x491	random_number()
0x49f	potSize()
0x4ad	getPlayers()
0x51f	owner()
0x536	Kill()
0x564	locked()
0x575	winnerAddress()
0x58c	addresses(uint256)
0x5d7	potTime()
0x5e5	getSlots()
0x652	totalBet()
0x660	rewardWinner()
0x912	0x912
