0x1a5
0x4a4
0x501
0x527
0x560
0x565
0x5d3
0x5f1
0x5f9
0x678
0x67d
0x6c1
0x6e7
0x70d
0x7c8
0x7d7
0x85a
0xb3c
0xb7d
0xd45
0xd7a
0xdbf
0xf2d
0xf87
0x115b
0x1187
0x11c0
0x1398
0x13ae
0x1402
0x1417
0x1434
0x148e
0x14f4
0x1587
0x15db
0x1604
