0x1cf
0x3ca
0xf03
0x1400
0x143a
0x146d
0x1474
0x14d9
0x1548
0x1830
0x18ee
0x198c
0x19b6
0x1a9c
0x1ab4
0x1ab9
0x1bfc
0x1d26
0x1f06
0x2014
0x2025
0x20b8
0x22e4
0x23a2
0x23f7
0x24f6
0x2520
0x27b6
0x27e2
0x29ac
0x29d8
0x2aac
0x2b52
0x2cb4
0x2cbe
0x2ec0
0x305b
0x3182
0x31f9
0x3373
0x343a
0x34c6
0x34f2
0x3586
0x35b2
0x385e
0x394c
0x3a03
0x3a0a
0x3a68
0x3c02
0x3c60
0x4030
0x40de
0x421f
0x4339
0x43a2
0x44ae
0x4754
0x476a
0x4779
0x480d
0x483b
