0x0	__function_selector__
0xe6	fallback()
0xe6	batchLock_63efZf()
0xeb	getCET6ByAddr(address)
0x1cb	addMasterTo(address,string,string,string,uint8,uint8,uint8,uint8,uint8,uint8,uint32,uint32)
0x34e	addrCET6Count(address)
0x3a5	addrToUndergaduate(address)
0x5ad	addrToStudent(address)
0x79f	addDoctorTo(address,string,string,string,uint8,uint8,uint8,uint8,uint8,uint8,uint32,uint32)
0x922	owner()
0x979	addrToMaster(address)
0xb81	addrCET4Count(address)
0xbd8	addrToDoctor(address)
0xde0	createStudent(string,string,string,uint32,bytes1)
0xf11	addUndergraduateTo(address,string,string,string,uint8,uint8,uint8,uint8,uint8,uint8,uint32,uint32)
0x1094	addCET6To(address,uint32,uint32)
0x10f7	getCET4ByAddr(address)
0x11d7	transferOwnership(address)
0x121a	addCET4To(address,uint32,uint32)
0x30f2	0x30f2
