0x633	0x655	0	30
0xedd	0xeff	0	30
0xedd	0x2469	0	30
0xeff	0x2469	0	30
0x1625	0x162b	0	0
0x1646	0x164c	1	1
0x1667	0x166d	2	2
0x1688	0x168e	3	3
0x16a9	0x16af	4	4
0x16cb	0x16d1	5	5
0x16ed	0x16f6	6	9
0x1715	0x171e	10	13
0x1c19	0x633	0	30
0x1c19	0x655	0	30
0x1d8b	0x1d91	0	0
0x1dac	0x1db2	1	1
0x1dcd	0x1dd3	2	2
0x1dee	0x1df4	3	3
0x1e0f	0x1e15	4	4
0x1e31	0x1e37	5	5
0x1e53	0x1e5c	6	9
0x1e7b	0x1e84	10	13
0x2516	0x251f	0	3
0x253d	0x2543	4	4
0x2606	0x260f	0	3
0x262d	0x2633	4	4
0x27d6	0x27dc	0	0
0x27f7	0x27fd	1	1
0x2818	0x281e	2	2
0x2839	0x283f	3	3
0x285a	0x2860	4	4
0x287c	0x2882	5	5
0x289e	0x28a7	6	9
0x28c6	0x28cf	10	13
0x29a7	0x29b0	0	3
0x29ce	0x29d7	4	7
0x2a05	0x2a1e	0	19
0x2de7	0x2e00	0	19
0x2eda	0x2ee3	0	3
0x2f01	0x2f0a	4	7
0x2f38	0x2f51	0	19
0x31a1	0x31c4	0	30
0x3124V0x1513	0x3128V0x1513	0	0
0x3124V0x15d9	0x3128V0x15d9	0	0
0x3124V0x15f6	0x3128V0x15f6	0	0
0x3124V0x1c79	0x3128V0x1c79	0	0
0x3124V0x1d3f	0x3128V0x1d3f	0	0
0x3124V0x1d5c	0x3128V0x1d5c	0	0
0x3124V0x241c	0x3128V0x241c	0	0
0x3124V0x24ca	0x3128V0x24ca	0	0
0x3124V0x24e7	0x3128V0x24e7	0	0
0x3124V0x2504	0x3128V0x2504	0	0
0x3124V0x25ba	0x3128V0x25ba	0	0
0x3124V0x25d7	0x3128V0x25d7	0	0
0x3124V0x26c4	0x3128V0x26c4	0	0
0x3124V0x278a	0x3128V0x278a	0	0
0x3124V0x27a7	0x3128V0x27a7	0	0
