0xf4
0x2da
0x5ec
0x672
0x6d0
0x72e
0x75c
0x840
0x8ee
0x978
0xd74
0xd79
0xdc2
0x10cc
0x12f0
0x134e
0x1384
0x138b
0x13ea
0x143c
0x1508
0x150d
0x1514
0x15b1
0x15fc
0x167c
0x1683
0x169a
0x1701
0x1758
0x175f
0x17c0
0x19c0
0x1aee
0x1af3
0x1b1a
0x1b94
0x1c0e
0x1c48
0x1c5c
0x1c95
0x1e5e
0x1e74
0x1ef7
0x1f35
0x1f96
0x22f8
0x242c
0x2672
0x27a4
0x2800
0x2877
