0xcc
0x140
0x1dd
0x1f3
0x20a
0x26c
0x3f2
0x5ac
0x600
0x668
0x73a
0x7d4
0x812
0xb4e
0x13ed
0x1412
0x1432
0x1440
0x15bc
0x1635
0x1773
0x18b6
0x19c6
0x1ab5
0x1bff
0x1c0d
0x1c25
0x1c9c
0x1d40
0x1e60
0x1fe8
0x212f
0x236e
0x2398
0x24f6
0x25e6
0x2603
0x296a
0x2b20
0x2c08
0x2c23
0x2e06
0x306c
0x31c2
0x3200
0x325b
0x32a2
0x32c7
0x32fd
